src,dst,Packet_Size,Protocol,Encryption_Type,Packet_Delay(ms),Attack_label
Node_16,Node_7,1168,TCP,AES-256,19.26,Normal
Node_19,Node_20,1032,TCP,AES-192,9.93,Normal
Node_7,Node_4,262,UDP,AES-192,4.71,Normal
Node_15,Node_2,1443,TCP,AES-128,14.11,Normal
Node_11,Node_4,573,TCP,AES-128,3.9,Normal
Node_5,Node_15,439,UDP,AES-192,11.04,Normal
Node_3,Node_16,1191,TCP,AES-128,0.2,Normal
Node_18,Node_1,255,TCP,AES-128,3.36,Normal
Node_16,Node_7,885,TCP,AES-128,10.98,Normal
Node_13,Node_9,995,UDP,AES-192,13.69,Normal
Node_18,Node_16,381,TCP,AES-192,10.86,Normal
Node_2,Node_20,1174,TCP,AES-256,9.42,Normal
Node_2,Node_20,1040,TCP,AES-128,8.49,Normal
Node_3,Node_7,204,TCP,AES-256,2.61,Normal
Node_13,Node_4,1230,TCP,AES-256,6.4,Normal
Node_20,Node_3,922,UDP,AES-192,7.7,Normal
Node_11,Node_8,607,UDP,AES-128,15.29,Normal
Node_10,Node_16,711,TCP,AES-128,11.72,Normal
Node_19,Node_4,214,TCP,AES-256,1.18,Normal
Node_12,Node_3,564,UDP,AES-192,11.62,Normal
Node_18,Node_10,1316,TCP,AES-256,8.07,Normal
Node_10,Node_4,339,UDP,AES-128,6.62,Normal
Node_18,Node_5,621,UDP,AES-256,13.06,Normal
Node_11,Node_7,1471,UDP,AES-256,15.15,Normal
Node_2,Node_4,1363,UDP,AES-192,14.66,Drop_Attack
Node_9,Node_6,968,UDP,AES-256,5.8,Replay_Attack
Node_5,Node_19,137,UDP,AES-256,8.45,Normal
Node_14,Node_5,149,UDP,AES-192,11.66,Normal
Node_2,Node_13,494,TCP,AES-256,14.88,Blackhole_Attack
Node_14,Node_5,548,TCP,AES-128,7.6,Normal
Node_1,Node_7,744,UDP,AES-256,9.07,Normal
Node_8,Node_10,390,TCP,AES-192,4.47,Normal
Node_16,Node_8,472,UDP,AES-192,4.02,Normal
Node_8,Node_9,112,TCP,AES-192,14.06,Normal
Node_3,Node_10,783,UDP,AES-256,16.78,Normal
Node_18,Node_11,120,TCP,AES-192,9.64,Normal
Node_9,Node_2,286,UDP,AES-192,15.02,Normal
Node_11,Node_15,1305,TCP,AES-192,11.81,Normal
Node_7,Node_10,154,UDP,AES-128,6.77,Normal
Node_18,Node_7,809,UDP,AES-128,11.81,Normal
Node_11,Node_12,1422,TCP,AES-256,17.69,Normal
Node_17,Node_10,1429,UDP,AES-192,9.82,Normal
Node_10,Node_19,324,TCP,AES-192,17.82,Normal
Node_13,Node_6,1324,UDP,AES-192,0.1,Normal
Node_1,Node_11,651,TCP,AES-192,14.11,Normal
Node_20,Node_11,1016,UDP,AES-192,10.44,Normal
Node_17,Node_16,411,TCP,AES-192,8.5,Normal
Node_20,Node_11,255,TCP,AES-256,10.46,Normal
Node_7,Node_5,114,TCP,AES-128,0.1,Normal
Node_20,Node_3,996,UDP,AES-256,8.9,Normal
Node_13,Node_17,882,TCP,AES-128,11.79,Normal
Node_1,Node_5,934,TCP,AES-128,17.39,Normal
Node_17,Node_15,166,TCP,AES-128,7.41,Normal
Node_15,Node_18,1208,UDP,AES-192,5.96,Normal
Node_17,Node_14,1186,UDP,AES-128,7.49,Normal
Node_16,Node_15,594,TCP,AES-256,14.58,Normal
Node_17,Node_16,1347,TCP,AES-192,11.64,Normal
Node_10,Node_8,620,UDP,AES-192,7.35,Normal
Node_3,Node_6,372,TCP,AES-192,12.57,Normal
Node_7,Node_3,913,UDP,AES-192,10.49,Normal
Node_14,Node_2,487,UDP,AES-192,14.84,Normal
Node_19,Node_1,1243,UDP,AES-192,6.49,Drop_Attack
Node_13,Node_15,1166,TCP,AES-192,8.36,Normal
Node_14,Node_17,123,UDP,AES-192,8.04,Normal
Node_13,Node_6,1021,TCP,AES-256,2.68,Normal
Node_13,Node_20,1219,TCP,AES-128,11.48,Normal
Node_5,Node_16,436,TCP,AES-192,11.31,Normal
Node_7,Node_16,733,UDP,AES-192,10.03,Normal
Node_14,Node_9,231,UDP,AES-128,8.83,Normal
Node_2,Node_13,523,TCP,AES-256,2.92,Replay_Attack
Node_7,Node_1,1336,TCP,AES-128,7.9,Blackhole_Attack
Node_7,Node_16,1496,UDP,AES-192,8.29,Normal
Node_20,Node_4,399,UDP,AES-128,5.99,Normal
Node_10,Node_20,1451,UDP,AES-192,9.19,Normal
Node_7,Node_3,1276,TCP,AES-128,12.02,Normal
Node_10,Node_4,1223,TCP,AES-192,19.43,Normal
Node_12,Node_3,1100,UDP,AES-128,10.87,Normal
Node_16,Node_4,951,UDP,AES-256,11.29,Normal
Node_15,Node_5,955,TCP,AES-256,9.63,Normal
Node_9,Node_19,1054,UDP,AES-192,0.41,Normal
Node_19,Node_9,724,TCP,AES-128,9.87,Normal
Node_15,Node_8,1015,UDP,AES-192,10.3,Drop_Attack
Node_7,Node_13,593,UDP,AES-192,22.32,Normal
Node_9,Node_19,84,TCP,AES-128,9.04,Normal
Node_14,Node_17,1201,TCP,AES-256,11.51,Normal
Node_16,Node_15,99,TCP,AES-192,9.83,Normal
Node_8,Node_11,1423,UDP,AES-192,4.16,Normal
Node_12,Node_15,1191,UDP,AES-192,15.71,Normal
Node_9,Node_11,578,TCP,AES-128,13.76,Normal
Node_11,Node_4,1161,TCP,AES-128,13.96,Normal
Node_16,Node_9,1271,UDP,AES-128,5.45,Normal
Node_10,Node_8,803,TCP,AES-192,17.01,Blackhole_Attack
Node_2,Node_3,1197,UDP,AES-256,2.99,Normal
Node_16,Node_4,89,UDP,AES-192,12.93,Normal
Node_11,Node_6,169,UDP,AES-192,20.95,Replay_Attack
Node_3,Node_20,1353,TCP,AES-128,5.05,Blackhole_Attack
Node_3,Node_9,306,UDP,AES-256,7.17,Normal
Node_20,Node_8,1134,UDP,AES-192,10.5,Normal
Node_10,Node_20,942,UDP,AES-256,7.48,Normal
Node_20,Node_4,489,TCP,AES-192,2.25,Normal
Node_6,Node_9,419,TCP,AES-128,10.34,Drop_Attack
Node_16,Node_10,130,TCP,AES-192,4.69,Normal
Node_15,Node_3,1471,TCP,AES-192,12.37,Normal
Node_19,Node_7,934,TCP,AES-256,5.4,Normal
Node_5,Node_10,355,TCP,AES-128,17.75,Normal
Node_10,Node_20,655,UDP,AES-128,6.08,Normal
Node_10,Node_14,621,UDP,AES-192,8.39,Replay_Attack
Node_11,Node_9,116,TCP,AES-128,14.07,Normal
Node_19,Node_20,106,UDP,AES-256,3.85,Replay_Attack
Node_15,Node_9,435,UDP,AES-256,11.14,Normal
Node_3,Node_17,776,UDP,AES-192,16.54,Normal
Node_4,Node_7,739,UDP,AES-256,1.96,Normal
Node_13,Node_19,139,UDP,AES-128,10.92,Normal
Node_11,Node_4,891,TCP,AES-256,11.3,Normal
Node_15,Node_14,175,TCP,AES-256,13.91,Normal
Node_16,Node_15,169,TCP,AES-192,3.82,Normal
Node_10,Node_16,1494,UDP,AES-128,3.4,Blackhole_Attack
Node_8,Node_6,700,TCP,AES-256,12.61,Normal
Node_8,Node_4,1009,TCP,AES-256,11.48,Normal
Node_16,Node_10,1106,UDP,AES-192,11.25,Normal
Node_16,Node_8,999,TCP,AES-192,11.73,Normal
Node_20,Node_17,343,TCP,AES-192,6.6,Normal
Node_14,Node_11,1103,UDP,AES-128,11.16,Normal
Node_10,Node_20,1251,UDP,AES-128,11.47,Normal
Node_16,Node_12,744,UDP,AES-192,6.43,Normal
Node_7,Node_9,1235,UDP,AES-128,19.33,Normal
Node_14,Node_2,715,UDP,AES-256,12.37,Normal
Node_13,Node_14,1423,TCP,AES-192,4.04,Normal
Node_5,Node_18,1272,UDP,AES-128,13.28,Normal
Node_15,Node_4,1141,UDP,AES-128,5.13,Normal
Node_14,Node_5,217,UDP,AES-192,13.94,Normal
Node_13,Node_3,736,UDP,AES-192,15.79,Normal
Node_16,Node_19,137,TCP,AES-128,5.9,Normal
Node_10,Node_8,249,UDP,AES-128,14.82,Normal
Node_4,Node_16,404,UDP,AES-128,12.06,Replay_Attack
Node_12,Node_15,362,TCP,AES-256,14.11,Normal
Node_6,Node_7,422,TCP,AES-256,19.48,Normal
Node_20,Node_8,1083,TCP,AES-128,8.77,Normal
Node_9,Node_16,586,TCP,AES-192,6.23,Normal
Node_18,Node_6,215,UDP,AES-192,5.55,Normal
Node_10,Node_15,1477,UDP,AES-192,5.92,Normal
Node_7,Node_14,1053,TCP,AES-128,9.61,Normal
Node_12,Node_20,669,UDP,AES-128,11.71,Normal
Node_13,Node_9,80,TCP,AES-256,11.38,Normal
Node_10,Node_8,1307,UDP,AES-128,14.14,Normal
Node_20,Node_9,1452,TCP,AES-256,10.07,Blackhole_Attack
Node_10,Node_16,132,UDP,AES-256,17.27,Drop_Attack
Node_14,Node_6,475,TCP,AES-256,8.68,Normal
Node_12,Node_18,1091,UDP,AES-128,23.6,Normal
Node_16,Node_10,757,TCP,AES-192,13.13,Normal
Node_5,Node_9,1449,UDP,AES-256,5.71,Normal
Node_13,Node_1,605,TCP,AES-192,4.65,Normal
Node_9,Node_20,844,UDP,AES-128,12.41,Normal
Node_16,Node_1,1332,UDP,AES-256,8.88,Normal
Node_3,Node_16,1499,UDP,AES-256,13.57,Normal
Node_5,Node_2,140,UDP,AES-192,12.37,Replay_Attack
Node_5,Node_14,993,UDP,AES-256,9.64,Normal
Node_18,Node_14,1266,TCP,AES-192,5.77,Normal
Node_16,Node_14,636,TCP,AES-256,2.43,Normal
Node_15,Node_16,547,UDP,AES-128,7.77,Normal
Node_12,Node_19,1384,UDP,AES-128,14.28,Normal
Node_7,Node_4,995,TCP,AES-256,11.07,Normal
Node_20,Node_1,167,UDP,AES-128,3.77,Normal
Node_19,Node_7,204,TCP,AES-256,10.87,Normal
Node_8,Node_12,366,TCP,AES-192,11.93,Normal
Node_5,Node_6,1170,UDP,AES-128,5.58,Replay_Attack
Node_12,Node_8,1269,UDP,AES-128,10.77,Normal
Node_2,Node_6,926,TCP,AES-256,10.29,Drop_Attack
Node_17,Node_20,287,UDP,AES-256,4.29,Normal
Node_20,Node_2,1413,UDP,AES-192,11.79,Normal
Node_1,Node_3,1044,UDP,AES-192,12.8,Normal
Node_16,Node_15,214,TCP,AES-192,15.42,Normal
Node_3,Node_6,627,UDP,AES-192,15.27,Normal
Node_17,Node_10,993,UDP,AES-128,3.11,Normal
Node_4,Node_19,504,UDP,AES-192,5.31,Normal
Node_14,Node_11,992,UDP,AES-192,12.58,Normal
Node_11,Node_15,704,UDP,AES-192,12.57,Normal
Node_16,Node_3,250,TCP,AES-128,12.58,Normal
Node_12,Node_5,1203,TCP,AES-256,29.26,Normal
Node_18,Node_11,1436,TCP,AES-192,12.85,Normal
Node_14,Node_2,653,UDP,AES-192,15.68,Blackhole_Attack
Node_16,Node_8,285,UDP,AES-256,14.77,Normal
Node_9,Node_20,527,UDP,AES-256,13.26,Normal
Node_20,Node_18,117,UDP,AES-128,8.42,Normal
Node_10,Node_12,782,TCP,AES-128,13.79,Normal
Node_19,Node_13,206,TCP,AES-256,6.14,Normal
Node_1,Node_4,1150,TCP,AES-192,8.82,Normal
Node_11,Node_6,821,UDP,AES-256,7.57,Normal
Node_19,Node_3,171,TCP,AES-128,10.41,Normal
Node_2,Node_4,621,UDP,AES-256,21.57,Normal
Node_20,Node_15,912,UDP,AES-128,0.66,Normal
Node_4,Node_13,944,TCP,AES-192,13.43,Normal
Node_19,Node_16,1143,UDP,AES-128,1.94,Normal
Node_20,Node_2,79,TCP,AES-192,7.64,Normal
Node_5,Node_10,656,UDP,AES-128,15.44,Blackhole_Attack
Node_5,Node_14,1154,TCP,AES-256,10.32,Normal
Node_12,Node_3,877,TCP,AES-192,4.61,Replay_Attack
Node_19,Node_14,1238,UDP,AES-256,6.42,Normal
Node_10,Node_4,893,TCP,AES-192,13.4,Normal
Node_20,Node_15,1476,UDP,AES-128,6.35,Normal
Node_4,Node_9,956,UDP,AES-256,11.08,Drop_Attack
Node_8,Node_12,408,TCP,AES-256,10.23,Normal
Node_17,Node_18,461,UDP,AES-192,6.74,Normal
Node_5,Node_9,274,TCP,AES-192,20.72,Normal
Node_20,Node_5,1406,TCP,AES-128,13.17,Normal
Node_16,Node_15,1218,UDP,AES-256,0.1,Normal
Node_19,Node_11,1348,UDP,AES-128,10.93,Normal
Node_16,Node_15,1357,UDP,AES-192,6.69,Normal
Node_12,Node_18,215,UDP,AES-192,14.26,Normal
Node_2,Node_13,651,TCP,AES-256,6.04,Normal
Node_3,Node_18,851,UDP,AES-256,9.43,Normal
Node_2,Node_16,1234,TCP,AES-192,12.52,Normal
Node_17,Node_5,190,UDP,AES-128,14.33,Normal
Node_11,Node_3,1097,TCP,AES-128,4,Normal
Node_15,Node_16,1137,TCP,AES-192,8.33,Normal
Node_10,Node_14,901,UDP,AES-256,7.63,Normal
Node_11,Node_3,739,TCP,AES-256,6.73,Normal
Node_10,Node_9,1408,TCP,AES-192,18.83,Blackhole_Attack
Node_12,Node_10,1407,UDP,AES-128,12.02,Normal
Node_3,Node_11,1208,UDP,AES-256,3.7,Normal
Node_5,Node_18,255,UDP,AES-256,14.59,Normal
Node_12,Node_10,433,TCP,AES-192,20.61,Normal
Node_16,Node_7,527,TCP,AES-128,15.16,Replay_Attack
Node_18,Node_17,141,UDP,AES-256,2.4,Drop_Attack
Node_6,Node_7,960,TCP,AES-192,7.58,Normal
Node_8,Node_16,1314,UDP,AES-256,16.33,Normal
Node_8,Node_19,553,UDP,AES-192,6.46,Normal
Node_7,Node_13,1453,UDP,AES-192,12.22,Normal
Node_13,Node_18,1144,UDP,AES-128,13.87,Normal
Node_20,Node_5,576,TCP,AES-256,5.37,Normal
Node_12,Node_19,274,TCP,AES-192,9.7,Replay_Attack
Node_17,Node_5,959,TCP,AES-128,0.1,Normal
Node_12,Node_1,913,TCP,AES-192,4.88,Normal
Node_8,Node_14,231,UDP,AES-128,8.74,Replay_Attack
Node_11,Node_5,345,TCP,AES-192,3.76,Normal
Node_16,Node_5,1024,UDP,AES-256,18.16,Replay_Attack
Node_7,Node_5,1187,UDP,AES-128,2.85,Normal
Node_8,Node_11,313,TCP,AES-128,7.8,Normal
Node_20,Node_15,192,TCP,AES-192,10.65,Normal
Node_1,Node_18,1241,TCP,AES-256,17.21,Drop_Attack
Node_12,Node_8,1232,UDP,AES-128,2.82,Normal
Node_3,Node_18,802,TCP,AES-256,15.82,Normal
Node_17,Node_19,105,UDP,AES-192,10.05,Drop_Attack
Node_9,Node_1,795,TCP,AES-192,5.09,Normal
Node_4,Node_20,744,TCP,AES-128,12.31,Normal
Node_11,Node_6,1466,UDP,AES-256,11,Normal
Node_6,Node_5,193,UDP,AES-128,7,Normal
Node_2,Node_8,149,UDP,AES-192,10.35,Normal
Node_18,Node_16,582,TCP,AES-256,8.07,Normal
Node_12,Node_2,1406,UDP,AES-192,10.57,Drop_Attack
Node_13,Node_16,855,UDP,AES-128,13.31,Normal
Node_16,Node_12,1127,UDP,AES-128,17.93,Normal
Node_3,Node_15,1297,TCP,AES-256,3.81,Normal
Node_4,Node_3,735,UDP,AES-192,20.67,Normal
Node_14,Node_6,1476,UDP,AES-192,0.24,Normal
Node_12,Node_15,626,TCP,AES-128,9.24,Normal
Node_13,Node_12,1114,TCP,AES-128,12.94,Blackhole_Attack
Node_15,Node_2,322,TCP,AES-128,11.4,Normal
Node_12,Node_13,848,TCP,AES-256,6.89,Normal
Node_15,Node_12,825,UDP,AES-128,8.96,Normal
Node_17,Node_12,879,UDP,AES-256,7.53,Normal
Node_4,Node_1,445,UDP,AES-256,7.05,Normal
Node_18,Node_4,600,UDP,AES-256,14.25,Normal
Node_20,Node_10,1485,UDP,AES-128,11.79,Replay_Attack
Node_15,Node_3,1460,UDP,AES-256,6.54,Normal
Node_3,Node_19,1174,UDP,AES-192,14.5,Normal
Node_6,Node_13,1105,TCP,AES-128,11.54,Normal
Node_5,Node_9,1075,TCP,AES-192,14.06,Normal
Node_12,Node_16,1193,TCP,AES-256,13.15,Normal
Node_3,Node_11,879,UDP,AES-256,5.86,Normal
Node_14,Node_20,215,TCP,AES-192,7.2,Normal
Node_15,Node_16,1456,UDP,AES-128,13.74,Normal
Node_18,Node_20,436,TCP,AES-192,13.05,Normal
Node_2,Node_5,1125,TCP,AES-192,9.9,Normal
Node_11,Node_8,772,UDP,AES-128,10.59,Normal
Node_18,Node_9,320,UDP,AES-256,16.39,Normal
Node_17,Node_6,1276,TCP,AES-128,7.04,Normal
Node_20,Node_11,1218,TCP,AES-128,12.74,Blackhole_Attack
Node_9,Node_7,1235,UDP,AES-256,8.99,Normal
Node_16,Node_19,657,UDP,AES-192,8.91,Normal
Node_13,Node_10,992,TCP,AES-256,15.49,Drop_Attack
Node_15,Node_7,760,TCP,AES-192,14.13,Normal
Node_11,Node_13,880,TCP,AES-192,14.07,Normal
Node_4,Node_12,559,UDP,AES-128,16.53,Normal
Node_8,Node_5,262,TCP,AES-192,10.11,Normal
Node_20,Node_14,572,TCP,AES-192,13.41,Normal
Node_11,Node_7,390,UDP,AES-256,8.45,Normal
Node_10,Node_17,111,TCP,AES-192,11.62,Normal
Node_8,Node_7,1258,UDP,AES-128,9.35,Drop_Attack
Node_16,Node_10,1163,TCP,AES-128,10.48,Normal
Node_9,Node_13,889,UDP,AES-128,12.98,Normal
Node_19,Node_18,462,UDP,AES-256,5.91,Normal
Node_13,Node_18,986,UDP,AES-256,20.46,Normal
Node_4,Node_6,262,UDP,AES-192,4.97,Normal
Node_11,Node_19,812,TCP,AES-128,3.93,Normal
Node_13,Node_18,146,TCP,AES-128,15.79,Drop_Attack
Node_17,Node_15,369,TCP,AES-192,13.96,Normal
Node_11,Node_6,868,UDP,AES-256,13.12,Normal
Node_17,Node_19,1067,UDP,AES-192,13.14,Normal
Node_12,Node_11,1443,TCP,AES-192,9.94,Normal
Node_1,Node_17,607,TCP,AES-256,5.51,Drop_Attack
Node_20,Node_13,366,TCP,AES-128,10.38,Normal
Node_4,Node_8,102,UDP,AES-192,6.61,Normal
Node_14,Node_7,904,UDP,AES-256,14.88,Normal
Node_5,Node_18,488,UDP,AES-256,9.26,Normal
Node_13,Node_11,418,UDP,AES-256,5.87,Normal
Node_12,Node_9,1313,UDP,AES-128,8.39,Normal
Node_9,Node_19,675,TCP,AES-192,12.06,Normal
Node_7,Node_17,713,UDP,AES-192,7.18,Normal
Node_9,Node_11,313,UDP,AES-192,5.89,Normal
Node_5,Node_11,150,UDP,AES-256,11.22,Drop_Attack
Node_16,Node_7,477,UDP,AES-256,11.22,Normal
Node_5,Node_4,1324,TCP,AES-128,7.47,Blackhole_Attack
Node_8,Node_2,269,UDP,AES-192,7.64,Normal
Node_4,Node_6,74,TCP,AES-192,11.16,Normal
Node_16,Node_17,1396,TCP,AES-192,2.76,Normal
Node_2,Node_4,1399,TCP,AES-256,2.96,Normal
Node_2,Node_7,919,TCP,AES-128,6.41,Normal
Node_13,Node_17,445,UDP,AES-128,8.93,Blackhole_Attack
Node_11,Node_10,994,UDP,AES-128,11.55,Normal
Node_15,Node_9,458,TCP,AES-192,17.38,Normal
Node_15,Node_9,445,TCP,AES-256,14.29,Normal
Node_10,Node_20,1445,TCP,AES-128,9.2,Normal
Node_13,Node_15,1119,UDP,AES-128,9.9,Normal
Node_4,Node_7,351,UDP,AES-192,4.99,Normal
Node_1,Node_10,849,TCP,AES-192,9.91,Normal
Node_11,Node_10,1256,TCP,AES-192,8.56,Normal
Node_8,Node_2,1431,TCP,AES-192,11.61,Normal
Node_13,Node_18,700,TCP,AES-256,5.86,Normal
Node_10,Node_13,1322,TCP,AES-128,12.6,Normal
Node_16,Node_5,995,UDP,AES-192,17.66,Normal
Node_16,Node_19,1424,TCP,AES-128,9.46,Normal
Node_20,Node_3,1140,UDP,AES-256,12.01,Normal
Node_3,Node_20,293,TCP,AES-256,13.45,Normal
Node_7,Node_20,1163,TCP,AES-128,7.99,Normal
Node_17,Node_15,302,TCP,AES-256,11.12,Normal
Node_3,Node_18,976,TCP,AES-192,10.06,Drop_Attack
Node_2,Node_19,1010,UDP,AES-256,10.49,Drop_Attack
Node_7,Node_20,213,TCP,AES-192,6.13,Normal
Node_3,Node_19,187,TCP,AES-192,10.12,Drop_Attack
Node_5,Node_15,830,UDP,AES-192,12.49,Normal
Node_13,Node_14,228,TCP,AES-256,17.26,Normal
Node_4,Node_7,1164,UDP,AES-256,14.8,Replay_Attack
Node_1,Node_11,1012,UDP,AES-256,20.77,Normal
Node_8,Node_9,1007,UDP,AES-128,6.16,Normal
Node_4,Node_2,1416,UDP,AES-256,14.36,Normal
Node_1,Node_9,486,TCP,AES-128,10.92,Normal
Node_15,Node_2,565,TCP,AES-192,20.95,Normal
Node_18,Node_7,179,TCP,AES-256,5.96,Normal
Node_8,Node_20,717,UDP,AES-128,5.8,Normal
Node_5,Node_18,516,UDP,AES-192,7,Normal
Node_18,Node_20,422,UDP,AES-256,0.1,Normal
Node_12,Node_14,1138,UDP,AES-256,7.37,Normal
Node_5,Node_11,834,TCP,AES-256,6.2,Normal
Node_8,Node_11,359,UDP,AES-128,10.75,Normal
Node_14,Node_19,1149,TCP,AES-192,11.71,Normal
Node_7,Node_12,1388,TCP,AES-192,19.38,Normal
Node_3,Node_19,454,TCP,AES-192,14.75,Normal
Node_20,Node_2,213,TCP,AES-256,7.12,Normal
Node_18,Node_7,1045,TCP,AES-192,5.51,Normal
Node_1,Node_8,453,TCP,AES-256,12.46,Normal
Node_16,Node_8,1488,TCP,AES-192,3.4,Normal
Node_18,Node_11,643,UDP,AES-192,19.16,Normal
Node_12,Node_10,599,UDP,AES-256,15.9,Normal
Node_15,Node_4,1025,UDP,AES-128,7.65,Normal
Node_14,Node_2,1216,TCP,AES-256,1.43,Drop_Attack
Node_19,Node_20,919,UDP,AES-128,16.77,Normal
Node_8,Node_14,1230,TCP,AES-192,9.43,Normal
Node_11,Node_9,1064,UDP,AES-192,16.19,Normal
Node_12,Node_6,350,UDP,AES-128,2.03,Normal
Node_18,Node_2,1137,TCP,AES-128,7,Normal
Node_2,Node_1,908,TCP,AES-256,10.03,Normal
Node_5,Node_1,511,UDP,AES-192,10.23,Blackhole_Attack
Node_20,Node_16,1414,UDP,AES-128,7.75,Blackhole_Attack
Node_1,Node_18,626,UDP,AES-128,13.11,Normal
Node_14,Node_6,283,TCP,AES-256,4.66,Replay_Attack
Node_9,Node_13,611,UDP,AES-128,9.29,Normal
Node_13,Node_16,1221,TCP,AES-256,10.6,Normal
Node_3,Node_2,255,UDP,AES-192,12.57,Normal
Node_16,Node_2,1368,TCP,AES-256,13.56,Normal
Node_16,Node_14,1384,UDP,AES-256,4.38,Normal
Node_4,Node_18,151,TCP,AES-128,2.33,Normal
Node_19,Node_16,619,TCP,AES-128,16.39,Normal
Node_9,Node_19,1218,TCP,AES-128,11.66,Normal
Node_11,Node_1,488,TCP,AES-256,6.26,Normal
Node_3,Node_11,396,TCP,AES-256,17.76,Normal
Node_13,Node_19,743,UDP,AES-256,10.58,Blackhole_Attack
Node_17,Node_12,173,TCP,AES-192,15.9,Normal
Node_3,Node_12,1303,UDP,AES-192,10.34,Drop_Attack
Node_15,Node_17,531,UDP,AES-256,20.3,Normal
Node_14,Node_6,1456,UDP,AES-128,18.78,Normal
Node_10,Node_8,214,TCP,AES-192,8.76,Normal
Node_5,Node_14,712,UDP,AES-128,14.86,Drop_Attack
Node_9,Node_4,335,TCP,AES-128,13.23,Normal
Node_18,Node_19,1113,UDP,AES-128,16.84,Drop_Attack
Node_20,Node_11,852,TCP,AES-192,5.18,Normal
Node_3,Node_19,561,TCP,AES-256,13.43,Normal
Node_5,Node_10,680,UDP,AES-192,15.29,Replay_Attack
Node_14,Node_10,1055,TCP,AES-192,1.21,Normal
Node_8,Node_17,1280,TCP,AES-192,4.08,Drop_Attack
Node_13,Node_11,1334,UDP,AES-192,0.1,Normal
Node_14,Node_5,679,UDP,AES-256,8.65,Normal
Node_7,Node_17,707,TCP,AES-192,13.59,Normal
Node_10,Node_17,1243,TCP,AES-192,17.51,Normal
Node_13,Node_12,297,TCP,AES-256,10.37,Normal
Node_6,Node_19,119,UDP,AES-256,18.14,Normal
Node_10,Node_3,901,UDP,AES-128,3.1,Normal
Node_8,Node_10,1412,TCP,AES-256,1.48,Normal
Node_13,Node_3,983,UDP,AES-256,9.72,Normal
Node_17,Node_14,1177,TCP,AES-192,11.92,Normal
Node_18,Node_3,287,TCP,AES-256,9.84,Normal
Node_6,Node_2,1217,UDP,AES-192,0.1,Normal
Node_14,Node_4,85,TCP,AES-192,9.55,Normal
Node_17,Node_19,1252,TCP,AES-192,3.48,Normal
Node_15,Node_20,1478,TCP,AES-192,13.35,Normal
Node_16,Node_4,669,UDP,AES-128,11.83,Blackhole_Attack
Node_10,Node_12,996,TCP,AES-256,5.3,Normal
Node_16,Node_4,961,UDP,AES-192,7.43,Replay_Attack
Node_4,Node_1,766,TCP,AES-256,4.7,Normal
Node_8,Node_18,421,TCP,AES-192,9.69,Normal
Node_15,Node_8,893,TCP,AES-128,14.78,Normal
Node_14,Node_13,123,TCP,AES-192,5.07,Normal
Node_13,Node_1,503,TCP,AES-192,12.52,Normal
Node_3,Node_20,272,TCP,AES-192,7.35,Normal
Node_15,Node_4,601,UDP,AES-256,6.04,Normal
Node_11,Node_14,1315,UDP,AES-256,9.46,Drop_Attack
Node_20,Node_6,1443,UDP,AES-256,4.82,Normal
Node_5,Node_12,305,TCP,AES-192,7.23,Drop_Attack
Node_17,Node_13,920,TCP,AES-256,4.01,Normal
Node_6,Node_17,1365,TCP,AES-256,19.82,Normal
Node_10,Node_5,447,UDP,AES-192,10.18,Normal
Node_12,Node_1,1056,TCP,AES-128,6.5,Normal
